,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,SalePrice
0,1,0,0,0,0,208500
1,1,0,0,0,0,181500
2,1,0,0,0,0,223500
3,1,0,0,0,0,140000
4,1,0,0,0,0,250000
5,1,0,0,0,0,143000
6,1,0,0,0,0,307000
7,1,0,0,0,0,200000
8,1,0,0,0,0,129900
9,0,1,0,0,0,118000
10,1,0,0,0,0,129500
11,1,0,0,0,0,345000
12,1,0,0,0,0,144000
13,1,0,0,0,0,279500
14,1,0,0,0,0,157000
15,1,0,0,0,0,132000
16,1,0,0,0,0,149000
17,0,0,1,0,0,90000
18,1,0,0,0,0,159000
19,1,0,0,0,0,139000
20,1,0,0,0,0,325300
21,1,0,0,0,0,139400
22,1,0,0,0,0,230000
23,0,0,0,0,1,129900
24,1,0,0,0,0,154000
25,1,0,0,0,0,256300
26,1,0,0,0,0,134800
27,1,0,0,0,0,306000
28,1,0,0,0,0,207500
29,1,0,0,0,0,68500
30,1,0,0,0,0,40000
31,1,0,0,0,0,149350
32,1,0,0,0,0,179900
33,1,0,0,0,0,165500
34,0,0,0,0,1,277500
35,1,0,0,0,0,309000
36,1,0,0,0,0,145000
37,1,0,0,0,0,153000
38,1,0,0,0,0,109000
39,0,0,1,0,0,82000
40,1,0,0,0,0,160000
41,1,0,0,0,0,170000
42,1,0,0,0,0,144000
43,1,0,0,0,0,130250
44,1,0,0,0,0,141000
45,0,0,0,0,1,319900
46,1,0,0,0,0,239686
47,1,0,0,0,0,249700
48,0,1,0,0,0,113000
49,1,0,0,0,0,127000
50,1,0,0,0,0,177000
51,1,0,0,0,0,114500
52,0,0,1,0,0,110000
53,1,0,0,0,0,385000
54,1,0,0,0,0,130000
55,1,0,0,0,0,180500
56,0,0,0,1,0,172500
57,1,0,0,0,0,196500
58,1,0,0,0,0,438780
59,1,0,0,0,0,124900
60,1,0,0,0,0,158000
61,1,0,0,0,0,101000
62,0,0,0,0,1,202500
63,1,0,0,0,0,140000
64,1,0,0,0,0,219500
65,1,0,0,0,0,317000
66,1,0,0,0,0,180000
67,1,0,0,0,0,226000
68,1,0,0,0,0,80000
69,1,0,0,0,0,225000
70,1,0,0,0,0,244000
71,1,0,0,0,0,129500
72,1,0,0,0,0,185000
73,1,0,0,0,0,144900
74,1,0,0,0,0,107400
75,0,0,0,1,0,91000
76,1,0,0,0,0,135750
77,1,0,0,0,0,127000
78,0,0,1,0,0,136500
79,1,0,0,0,0,110000
80,1,0,0,0,0,193500
81,0,0,0,0,1,153500
82,1,0,0,0,0,245000
83,1,0,0,0,0,126500
84,1,0,0,0,0,168500
85,1,0,0,0,0,260000
86,1,0,0,0,0,174000
87,0,0,0,0,1,164500
88,1,0,0,0,0,85000
89,1,0,0,0,0,123600
90,1,0,0,0,0,109900
91,1,0,0,0,0,98600
